lat,long,TT min,TT max,csl min,csl max,wed 6 nov 5:00 work to home
-37.73828024,145.1178159,35,60,35,60,
-37.71601209,145.1049438,35,65,22,45,
-37.81956921,145.2332667,16,28,50,100,
-37.7801944,145.0875055,24,40,35,70,
-37.71018003,145.102551,35,65,20,40,
-37.73978457,145.0874892,35,60,24,50,
-37.7185017,145.1487775,30,60,30,60,
-37.67894028,145.1104009,40,75,20,40,
-37.74282585,145.0760249,26,50,30,55,
-37.76148349,145.0643845,30,50,28,65,
-37.75785477,145.0918169,26,45,30,65,
-37.71361691,145.0882176,35,65,20,40,
-37.73429399,145.0438666,20,45,35,65,
-37.7695684,145.0233297,30,50,24,55,
-37.7969511,145.033602,35,70,28,45,
-37.74738174,144.982383,40,75,20,40,
-37.76502898,145.0505818,30,50,28,55,
-37.76999688,145.1313851,22,40,35,70,
-37.66949516,145.1711597,40,65,28,55,
-37.72332171,145.1995034,28,45,40,75,
-37.76404528,145.2153342,22,40,40,80,
-37.75752545,145.1036639,26,45,30,65,
-37.79693374,145.0810478,24,40,35,80,
-37.70185929,144.9816963,50,100,10,18,
-37.69489382,144.9243265,55,100,7,12,
-37.8820548,145.1700173,12,22,50,85,
-37.80419001,145.1486906,20,35,40,80,
-37.75709777,145.1646465,22,40,35,70,
-37.70115378,145.1300897,35,65,24,50,
-37.80680219,144.9842697,35,60,35,70,
-37.73557806,145.0528953,35,60,22,45,
